ImagePath,Class,Confidence
detected_frames\frame_285360673581200.jpg,car,0.93
detected_frames\frame_285360858011800.jpg,car,0.93
detected_frames\frame_285360869856000.jpg,car,0.34
detected_frames\frame_285360956452800.jpg,car,0.37
detected_frames\frame_285361027777500.jpg,car,0.40
detected_frames\frame_285361042273300.jpg,car,0.30
detected_frames\frame_285361110733000.jpg,car,0.42
detected_frames\frame_285361121273100.jpg,car,0.42
detected_frames\frame_285361192792300.jpg,car,0.42
detected_frames\frame_285361205186200.jpg,car,0.40
detected_frames\frame_285361273017300.jpg,car,0.50
detected_frames\frame_285361285329000.jpg,car,0.38
detected_frames\frame_285361352494800.jpg,car,0.54
detected_frames\frame_285361363893400.jpg,car,0.43
detected_frames\frame_285361422578600.jpg,car,0.53
detected_frames\frame_285361432836100.jpg,car,0.51
detected_frames\frame_285361504088500.jpg,car,0.67
detected_frames\frame_285361518386200.jpg,car,0.64
detected_frames\frame_285361585093900.jpg,car,0.64
detected_frames\frame_285361600188000.jpg,car,0.46
detected_frames\frame_285361669573100.jpg,car,0.73
detected_frames\frame_285361683650600.jpg,car,0.62
detected_frames\frame_285361742486800.jpg,car,0.78
detected_frames\frame_285361752487000.jpg,car,0.67
detected_frames\frame_285361821459400.jpg,car,0.77
detected_frames\frame_285361833995700.jpg,car,0.64
detected_frames\frame_285361897085200.jpg,car,0.73
detected_frames\frame_285361911436200.jpg,car,0.69
detected_frames\frame_285361972056300.jpg,car,0.75
detected_frames\frame_285361980913900.jpg,car,0.75
detected_frames\frame_285362051144100.jpg,car,0.84
detected_frames\frame_285362065059700.jpg,car,0.72
detected_frames\frame_285362121718500.jpg,car,0.91
detected_frames\frame_285362131374100.jpg,car,0.79
detected_frames\frame_285362188710300.jpg,car,0.93
detected_frames\frame_285362202591800.jpg,car,0.84
detected_frames\frame_285362266635300.jpg,car,0.89
detected_frames\frame_285362280627800.jpg,car,0.85
detected_frames\frame_285362335485100.jpg,car,0.88
detected_frames\frame_285362345851300.jpg,car,0.85
detected_frames\frame_285362409250500.jpg,car,0.91
detected_frames\frame_285362423100600.jpg,car,0.88
detected_frames\frame_285362485408700.jpg,car,0.94
detected_frames\frame_285362495456400.jpg,car,0.87
detected_frames\frame_285362562988000.jpg,car,0.93
detected_frames\frame_285362574910100.jpg,car,0.92
detected_frames\frame_285362634512800.jpg,car,0.93
detected_frames\frame_285362643381200.jpg,car,0.86
detected_frames\frame_285362711982500.jpg,car,0.93
detected_frames\frame_285362725720900.jpg,car,0.88
detected_frames\frame_285362733591600.jpg,car,0.31
detected_frames\frame_285362786289600.jpg,car,0.94
detected_frames\frame_285362794932300.jpg,car,0.91
detected_frames\frame_285362858426400.jpg,car,0.95
detected_frames\frame_285362872473600.jpg,car,0.93
detected_frames\frame_285362928771400.jpg,car,0.93
detected_frames\frame_285362938342300.jpg,car,0.92
detected_frames\frame_285363006765200.jpg,car,0.94
detected_frames\frame_285363018294500.jpg,car,0.89
detected_frames\frame_285363076138000.jpg,car,0.90
detected_frames\frame_285363086006000.jpg,car,0.87
detected_frames\frame_285363153913300.jpg,car,0.91
detected_frames\frame_285363167931200.jpg,car,0.88
detected_frames\frame_285363229286600.jpg,car,0.91
detected_frames\frame_285363243508900.jpg,car,0.90
detected_frames\frame_285363310385200.jpg,car,0.91
detected_frames\frame_285363324303500.jpg,car,0.90
