ImagePath,Class,Confidence
detected_frames\frame_363941150955800.jpg,car,0.61
detected_frames\frame_363941204341000.jpg,car,0.64
detected_frames\frame_363941264277800.jpg,car,0.64
detected_frames\frame_363941323685900.jpg,car,0.59
detected_frames\frame_363941387980300.jpg,car,0.78
detected_frames\frame_363941463413400.jpg,car,0.79
detected_frames\frame_363941521083800.jpg,car,0.75
detected_frames\frame_363941586275400.jpg,car,0.89
detected_frames\frame_363941649102400.jpg,car,0.90
detected_frames\frame_363941699307000.jpg,car,0.88
detected_frames\frame_363941757764800.jpg,car,0.89
detected_frames\frame_363941816469200.jpg,car,0.93
detected_frames\frame_363941876024800.jpg,car,0.92
detected_frames\frame_363941928699800.jpg,car,0.93
detected_frames\frame_363942002507100.jpg,car,0.92
detected_frames\frame_363942066503200.jpg,car,0.94
detected_frames\frame_363942131892500.jpg,car,0.92
detected_frames\frame_363942195955900.jpg,car,0.91
detected_frames\frame_363942262834300.jpg,car,0.89
detected_frames\frame_363942322743000.jpg,car,0.91
detected_frames\frame_363942385561400.jpg,car,0.93
detected_frames\frame_363942451166500.jpg,car,0.92
detected_frames\frame_363942517893600.jpg,car,0.91
detected_frames\frame_363942584063200.jpg,car,0.92
detected_frames\frame_363942648619800.jpg,car,0.95
detected_frames\frame_363942706447200.jpg,car,0.94
detected_frames\frame_363942769167700.jpg,car,0.94
detected_frames\frame_363942835869700.jpg,car,0.96
detected_frames\frame_363942899528600.jpg,car,0.95
detected_frames\frame_363943562381300.jpg,car,0.94
detected_frames\frame_363943662206700.jpg,car,0.93
detected_frames\frame_363943763300800.jpg,car,0.95
detected_frames\frame_363943868427900.jpg,car,0.93
detected_frames\frame_363943959016200.jpg,car,0.96
detected_frames\frame_363944055327100.jpg,car,0.94
detected_frames\frame_363944145030300.jpg,car,0.94
detected_frames\frame_363944247460000.jpg,car,0.95
detected_frames\frame_363944352901600.jpg,car,0.94
detected_frames\frame_363944453824500.jpg,car,0.95
detected_frames\frame_363946006300300.jpg,car,0.53
detected_frames\frame_363946103972300.jpg,car,0.52
detected_frames\frame_363946202288300.jpg,car,0.54
detected_frames\frame_363946296396800.jpg,car,0.75
detected_frames\frame_363946391501800.jpg,car,0.75
detected_frames\frame_363946493518500.jpg,car,0.74
detected_frames\frame_363946593005500.jpg,car,0.85
detected_frames\frame_363946695692400.jpg,car,0.89
detected_frames\frame_363946789811700.jpg,car,0.92
detected_frames\frame_363946884585500.jpg,car,0.92
detected_frames\frame_363946976072900.jpg,car,0.87
detected_frames\frame_363947060122700.jpg,car,0.92
detected_frames\frame_363947155034800.jpg,car,0.90
detected_frames\frame_363947248539700.jpg,car,0.87
detected_frames\frame_363947351461000.jpg,car,0.92
detected_frames\frame_363947444991100.jpg,car,0.90
detected_frames\frame_363947536376600.jpg,car,0.95
detected_frames\frame_363947635274700.jpg,car,0.92
detected_frames\frame_363947733796800.jpg,car,0.90
detected_frames\frame_363947830566000.jpg,car,0.92
detected_frames\frame_363947935724500.jpg,car,0.94
detected_frames\frame_363948040001700.jpg,car,0.87
detected_frames\frame_363948131876100.jpg,car,0.95
detected_frames\frame_363948222802500.jpg,car,0.88
detected_frames\frame_363950354622200.jpg,car,0.54
detected_frames\frame_363950438293700.jpg,car,0.65
detected_frames\frame_363950539855400.jpg,car,0.55
detected_frames\frame_363950640059800.jpg,car,0.64
detected_frames\frame_363950737877500.jpg,car,0.67
detected_frames\frame_363950833681900.jpg,car,0.75
detected_frames\frame_363950932597000.jpg,car,0.89
detected_frames\frame_363951025957600.jpg,car,0.80
detected_frames\frame_363951168368800.jpg,car,0.80
detected_frames\frame_363951264990200.jpg,car,0.85
detected_frames\frame_363951363897100.jpg,car,0.85
detected_frames\frame_363951460457500.jpg,car,0.92
detected_frames\frame_363951576972900.jpg,car,0.92
detected_frames\frame_363951671707400.jpg,car,0.94
detected_frames\frame_363951765762200.jpg,car,0.92
detected_frames\frame_363951849568800.jpg,car,0.89
detected_frames\frame_363951862779500.jpg,car,0.76
detected_frames\frame_363951953662100.jpg,car,0.90
detected_frames\frame_363951972671100.jpg,car,0.81
detected_frames\frame_363952071788600.jpg,car,0.88
detected_frames\frame_363952085307900.jpg,car,0.88
detected_frames\frame_363952181129400.jpg,car,0.91
detected_frames\frame_363952193430100.jpg,car,0.90
detected_frames\frame_363952291348600.jpg,car,0.92
detected_frames\frame_363952305783800.jpg,car,0.89
detected_frames\frame_363952398514100.jpg,car,0.94
detected_frames\frame_363952410544100.jpg,car,0.94
detected_frames\frame_363952442654900.jpg,car,0.45
detected_frames\frame_363952540740900.jpg,car,0.92
detected_frames\frame_363952558897400.jpg,car,0.92
detected_frames\frame_363952572555000.jpg,car,0.41
detected_frames\frame_363952675518300.jpg,car,0.94
detected_frames\frame_363952694610700.jpg,car,0.92
detected_frames\frame_363952708777500.jpg,car,0.47
detected_frames\frame_363952801523800.jpg,car,0.93
detected_frames\frame_363952814649400.jpg,car,0.91
detected_frames\frame_363952833529400.jpg,car,0.50
detected_frames\frame_363952928934300.jpg,car,0.94
detected_frames\frame_363952947733500.jpg,car,0.91
detected_frames\frame_363952965959800.jpg,car,0.50
detected_frames\frame_363953060809000.jpg,car,0.97
detected_frames\frame_363953071769800.jpg,car,0.91
detected_frames\frame_363953095963100.jpg,car,0.49
detected_frames\frame_363953185351000.jpg,car,0.96
detected_frames\frame_363953198186200.jpg,car,0.92
detected_frames\frame_363953216249200.jpg,car,0.64
detected_frames\frame_363953318878100.jpg,car,0.89
detected_frames\frame_363953331942300.jpg,car,0.74
detected_frames\frame_363953430824900.jpg,car,0.89
detected_frames\frame_363953449649100.jpg,car,0.69
detected_frames\frame_363953536882600.jpg,car,0.92
detected_frames\frame_363953555150500.jpg,car,0.84
detected_frames\frame_363953651919500.jpg,car,0.96
detected_frames\frame_363953669974900.jpg,car,0.86
detected_frames\frame_363953768141500.jpg,car,0.95
detected_frames\frame_363953784467300.jpg,car,0.89
detected_frames\frame_363953875557500.jpg,car,0.95
detected_frames\frame_363953900505700.jpg,car,0.87
detected_frames\frame_363953992407200.jpg,car,0.95
detected_frames\frame_363954024698800.jpg,car,0.92
detected_frames\frame_363954115498700.jpg,car,0.95
detected_frames\frame_363954132906700.jpg,car,0.88
detected_frames\frame_363954222685900.jpg,car,0.93
detected_frames\frame_363954235434900.jpg,car,0.89
detected_frames\frame_363954331674600.jpg,car,0.88
detected_frames\frame_363954428862800.jpg,car,0.90
detected_frames\frame_363954529116500.jpg,car,0.92
detected_frames\frame_365018208985800.jpg,car,0.93
detected_frames\frame_365018222654700.jpg,car,0.88
detected_frames\frame_365018355315200.jpg,car,0.94
detected_frames\frame_365018370507900.jpg,car,0.87
detected_frames\frame_365018439363600.jpg,car,0.91
detected_frames\frame_365018450542000.jpg,car,0.82
detected_frames\frame_365018526006000.jpg,car,0.89
detected_frames\frame_365018538369800.jpg,car,0.82
detected_frames\frame_365018609225200.jpg,car,0.89
detected_frames\frame_365018621545700.jpg,car,0.66
detected_frames\frame_365018686413000.jpg,car,0.91
detected_frames\frame_365018698910700.jpg,car,0.59
detected_frames\frame_365018766106500.jpg,car,0.91
detected_frames\frame_365018841611600.jpg,car,0.93
detected_frames\frame_365018921797400.jpg,car,0.93
detected_frames\frame_365018997240200.jpg,car,0.91
detected_frames\frame_365019066701900.jpg,car,0.92
detected_frames\frame_365019134147200.jpg,car,0.95
detected_frames\frame_365019202932700.jpg,car,0.94
detected_frames\frame_365019269929700.jpg,car,0.96
detected_frames\frame_365019351327600.jpg,car,0.94
detected_frames\frame_365020305548000.jpg,car,0.43
detected_frames\frame_365020368771300.jpg,car,0.37
detected_frames\frame_365020436347800.jpg,car,0.40
detected_frames\frame_365020501439700.jpg,car,0.47
detected_frames\frame_365020571323900.jpg,car,0.62
detected_frames\frame_365020638248300.jpg,car,0.50
detected_frames\frame_365020706870600.jpg,car,0.68
detected_frames\frame_365020772167600.jpg,car,0.58
detected_frames\frame_365020835798900.jpg,car,0.39
detected_frames\frame_365020843769700.jpg,lcv,0.35
detected_frames\frame_365020908950900.jpg,car,0.35
detected_frames\frame_365020921928600.jpg,lcv,0.28
detected_frames\frame_365021003732900.jpg,car,0.80
detected_frames\frame_365021071524400.jpg,car,0.78
detected_frames\frame_365021133337500.jpg,car,0.94
detected_frames\frame_365021200116300.jpg,car,0.87
detected_frames\frame_365021212377900.jpg,car,0.71
detected_frames\frame_365021276542200.jpg,car,0.94
detected_frames\frame_365021288702500.jpg,car,0.77
detected_frames\frame_365021300882100.jpg,car,0.31
detected_frames\frame_365021367766700.jpg,car,0.90
detected_frames\frame_365021380075700.jpg,car,0.79
detected_frames\frame_365021391886800.jpg,car,0.26
detected_frames\frame_365021454524600.jpg,car,0.93
detected_frames\frame_365021466707600.jpg,car,0.82
detected_frames\frame_365021478847400.jpg,car,0.43
detected_frames\frame_365021571010900.jpg,car,0.90
detected_frames\frame_365021584365000.jpg,car,0.87
detected_frames\frame_365021597090600.jpg,car,0.49
detected_frames\frame_365021676641800.jpg,car,0.91
detected_frames\frame_365021688922700.jpg,car,0.85
detected_frames\frame_365021700943300.jpg,car,0.52
detected_frames\frame_365021764729000.jpg,car,0.90
detected_frames\frame_365021777565800.jpg,car,0.84
detected_frames\frame_365021784026800.jpg,car,0.57
detected_frames\frame_365021844273700.jpg,car,0.91
detected_frames\frame_365021856163600.jpg,car,0.83
detected_frames\frame_365021868114900.jpg,car,0.57
detected_frames\frame_365021932957400.jpg,car,0.92
detected_frames\frame_365021945243800.jpg,car,0.86
detected_frames\frame_365021953669500.jpg,car,0.80
detected_frames\frame_365022015004200.jpg,car,0.92
detected_frames\frame_365022027583000.jpg,car,0.88
detected_frames\frame_365022034880200.jpg,car,0.85
detected_frames\frame_365022101548000.jpg,car,0.94
detected_frames\frame_365022113907200.jpg,car,0.91
detected_frames\frame_365022120906000.jpg,car,0.81
detected_frames\frame_365022185263100.jpg,car,0.93
detected_frames\frame_365022193161200.jpg,car,0.89
detected_frames\frame_365022201340400.jpg,car,0.64
detected_frames\frame_365022266305300.jpg,car,0.95
detected_frames\frame_365022273631200.jpg,car,0.94
detected_frames\frame_365022281660100.jpg,car,0.65
detected_frames\frame_365022340727800.jpg,car,0.92
detected_frames\frame_365022352898200.jpg,car,0.89
detected_frames\frame_365022364131100.jpg,car,0.82
detected_frames\frame_365022424507600.jpg,car,0.93
detected_frames\frame_365022436592000.jpg,car,0.90
detected_frames\frame_365022504638400.jpg,car,0.92
detected_frames\frame_365022516804200.jpg,car,0.81
detected_frames\frame_365022582331500.jpg,car,0.94
detected_frames\frame_365022589253500.jpg,car,0.73
detected_frames\frame_365022652386300.jpg,car,0.91
